file,subject,exercise,set_id,num_reps,set_length_samples,true_period_samples,signal,method,estimated_period_samples,signed_error_samples,abs_error_samples,relative_abs_error,within_10_percent,within_20_percent
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,1,12,4994,408.0,transition_energy,fft,416.1667,8.1667,8.1667,0.02,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,pca_motion,autocorr,454.0,-21.0,21.0,0.0442,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,pca_motion,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,abs_pca_motion,autocorr,457.0,-18.0,18.0,0.0379,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,abs_pca_motion,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,acc_magnitude,autocorr,447.0,-28.0,28.0,0.0589,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,acc_magnitude,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,gyro_magnitude,autocorr,462.0,-13.0,13.0,0.0274,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,gyro_magnitude,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,pca_velocity,autocorr,952.0,477.0,477.0,1.0042,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,pca_velocity,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,motion_energy,autocorr,461.0,-14.0,14.0,0.0295,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,motion_energy,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,transition_energy,autocorr,456.0,-19.0,19.0,0.04,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,2,12,5805,475.0,transition_energy,fft,483.75,8.75,8.75,0.0184,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,12,4950,417.0,pca_motion,autocorr,373.0,-44.0,44.0,0.1055,False,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,12,4950,417.0,pca_motion,fft,412.5,-4.5,4.5,0.0108,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,12,4950,417.0,abs_pca_motion,autocorr,797.0,380.0,380.0,0.9113,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,12,4950,417.0,abs_pca_motion,fft,412.5,-4.5,4.5,0.0108,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_shoulder_press,0,12,4950,417.0,acc_magnitude,autocorr,784.0,367.0,367.0,0.8801,False,False
