dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
vo2_lag45_96_sets,M4_add_one__n_reps,1,haoyu0512workout,11,-0.2386659606370039,24,0.8938925500863469,1.1875395756941538,-0.4201121336569127,0.6096283795831291,0.375,0.8333333333333334
vo2_lag45_96_sets,M4_add_one__n_reps,2,yanz0510workout,11,-0.0351729304847466,24,1.1263820396382134,1.3170631760726916,0.1319187523669756,0.620922587082619,0.125,0.75
vo2_lag45_96_sets,M4_add_one__n_reps,3,yoru0511workout,11,-0.3347455987251426,24,1.414572055322564,1.7955469481257205,-0.5073194590292105,0.5661636335744761,0.2916666666666667,0.5416666666666666
vo2_lag45_96_sets,M4_add_one__n_reps,4,yushuan0513workout,11,-0.22403180168918177,24,0.8989108259934079,1.2846336610409934,0.2227609334310371,0.5431748922660025,0.5,0.8333333333333334
vo2_lag45_96_sets,M4_add_one__total_tut_sec,1,haoyu0512workout,11,-0.006369619373590579,24,0.948454963121273,1.2296784235943816,-0.5226832144427491,0.5863062974460521,0.3333333333333333,0.7916666666666666
vo2_lag45_96_sets,M4_add_one__total_tut_sec,2,yanz0510workout,11,0.3370203975837723,24,1.1819593801630546,1.4348900151237811,-0.030349077992275264,0.4810151372034882,0.08333333333333333,0.7083333333333334
vo2_lag45_96_sets,M4_add_one__total_tut_sec,3,yoru0511workout,11,-0.18242427397284194,24,1.53511233243911,1.8810599376416282,-0.6543105662858666,0.6771761107459421,0.20833333333333334,0.4583333333333333
vo2_lag45_96_sets,M4_add_one__total_tut_sec,4,yushuan0513workout,11,0.41072782902329813,24,1.0610687698992056,1.4780967286718543,-0.028967690141301627,0.41734971330715676,0.4166666666666667,0.75
vo2_lag45_96_sets,M4_add_one__rep_duration_cv,1,haoyu0512workout,11,-0.430463377047958,24,1.0907320174749038,1.4972417587714146,-1.2574093379446456,0.5803401834109859,0.2916666666666667,0.75
vo2_lag45_96_sets,M4_add_one__rep_duration_cv,2,yanz0510workout,11,-0.24828089560571917,24,1.0754608928462552,1.2775899509868947,0.18317290727288194,0.586278837588739,0.25,0.7083333333333334
vo2_lag45_96_sets,M4_add_one__rep_duration_cv,3,yoru0511workout,11,0.11808329951370067,24,1.6246395174811943,1.9430626242249758,-0.7651652599969065,0.6709594120243401,0.20833333333333334,0.4583333333333333
vo2_lag45_96_sets,M4_add_one__rep_duration_cv,4,yushuan0513workout,11,-0.23718092821458686,24,0.9489119841377064,1.294754230569641,0.21046624192565977,0.49665501976361237,0.4166666666666667,0.7916666666666666
vo2_lag45_96_sets,M4_add_one__movement_rate_cv,1,haoyu0512workout,11,-0.40850089895482433,24,0.9385017549536894,1.1749618443659129,-0.3901894289725014,0.6226453556596372,0.2916666666666667,0.75
vo2_lag45_96_sets,M4_add_one__movement_rate_cv,2,yanz0510workout,11,-0.43521665872230664,24,1.0107443688324893,1.2572554019639453,0.20896776719192645,0.591608645203182,0.2916666666666667,0.7083333333333334
vo2_lag45_96_sets,M4_add_one__movement_rate_cv,3,yoru0511workout,11,-0.032451491614100846,24,1.4117610938875498,1.7640527556392558,-0.45490592842109456,0.6563057650377065,0.25,0.5416666666666666
vo2_lag45_96_sets,M4_add_one__movement_rate_cv,4,yushuan0513workout,11,-0.4721465006581617,24,0.9540809943826813,1.3392810566665885,0.15522806273288559,0.44969210085643757,0.5,0.8333333333333334
vo2_lag45_96_sets,M4_add_one__gyro_diff_gain_last2_vs_first2,1,haoyu0512workout,11,0.25889442990398576,24,1.0817607790912653,1.304079218259241,-0.7125150732823153,0.6020351435384994,0.20833333333333334,0.7083333333333334
